"ID","time","x","y"
14809,2011-11-01 23:49:00,-1711307.8635551,471037.021157789
14809,2011-11-02 00:10:00,-1710019.79561935,471692.711224301
14809,2011-11-02 01:12:00,-1707745.53254708,472335.954061234
14809,2011-11-02 01:56:00,-1706217.44737381,472170.032908923
14809,2011-11-02 02:01:00,-1706076.32334472,472158.222407548
14809,2011-11-02 02:57:00,-1704885.04914508,473140.393867173
14809,2011-11-02 03:42:00,-1705153.35009185,475841.737268396
14809,2011-11-02 05:23:00,-1706691.36323144,485867.211266639
14809,2011-11-02 07:10:00,-1710447.19059436,498497.743269886
14809,2011-11-02 08:12:00,-1711183.34941887,504253.015359293
14809,2011-11-03 02:50:00,-1704500.50876655,498435.802582941
14809,2011-11-03 03:19:00,-1704500.50876655,498435.802582941
14809,2011-11-03 04:39:00,-1704500.50876655,498435.802582941
14809,2011-11-03 04:59:00,-1704500.50876655,498435.802582941
14809,2011-11-03 05:04:00,-1704500.50876655,498435.802582941
14809,2011-11-03 14:01:00,-1698104.92441687,496809.781690742
14809,2011-11-03 15:05:00,-1693716.02143954,495830.129981157
14809,2011-11-03 15:38:00,-1692268.56187773,495328.760806126
14809,2011-11-03 17:06:00,-1692096.84587848,494807.583818472
14809,2011-11-03 20:14:00,-1691478.84863596,494035.143210462
14809,2011-11-04 02:37:00,-1693151.83521292,494720.752419235
14809,2011-11-04 02:54:00,-1693168.54140103,494664.236099358
14809,2011-11-04 04:37:00,-1692907.9913249,494299.482461961
14809,2011-11-04 04:42:00,-1692907.9913249,494299.482461961
14809,2011-11-04 08:04:00,-1691450.25699545,493937.222507544
14809,2011-11-04 09:33:00,-1691279.10669399,492558.56737166
14809,2011-11-04 14:48:00,-1691214.38233547,492907.595161829
14809,2011-11-04 16:31:00,-1693276.97193482,494687.469483779
14809,2011-11-04 16:37:00,-1693292.7315312,494673.312472885
14809,2011-11-05 02:20:00,-1692901.15959582,494333.40317051
14809,2011-11-05 02:30:00,-1693175.98442741,494352.348792214
14809,2011-11-05 03:07:00,-1693336.39382439,494284.424345847
14809,2011-11-05 04:03:00,-1692866.81962419,494711.45192861
14809,2011-11-05 04:09:00,-1692911.94138051,494840.989637804
14809,2011-11-05 04:19:00,-1692993.37695526,495053.378991668
14809,2011-11-05 05:58:00,-1691184.92011429,494321.070547751
14809,2011-11-05 09:10:00,-1691793.43163777,490685.223374952
14809,2011-11-05 11:58:00,-1691907.0777144,491051.644651694
14809,2011-11-05 14:42:00,-1693779.2966512,494869.328957151
14809,2011-11-05 15:17:00,-1693302.36997302,495275.321981723
14809,2011-11-06 02:04:00,-1693113.7463775,495058.595711826
14809,2011-11-06 02:59:00,-1693212.02092215,495021.9311252
14809,2011-11-06 05:34:00,-1693675.30669719,494809.305129122
14809,2011-11-06 05:37:00,-1693668.7654055,494797.558514911
14809,2011-11-06 05:46:00,-1693639.49652652,494751.115697425
14809,2011-11-06 08:53:00,-1691960.92658722,491590.097591502
14809,2011-11-06 14:27:00,-1692318.8470766,490452.289012036
14809,2011-11-07 02:07:00,-1693083.5178044,493945.91416699
14809,2011-11-07 02:43:00,-1693171.53994103,494123.99417473
14809,2011-11-07 03:21:00,-1693186.66445646,494346.887409716
14809,2011-11-07 05:02:00,-1691834.94224675,493123.134023437
14809,2011-11-07 05:34:00,-1691570.37403007,492364.841977078
14809,2011-11-07 08:31:00,-1691969.89692849,494019.57450638
14809,2011-11-07 08:54:00,-1691971.87527109,494026.953404712
14809,2011-11-07 10:14:00,-1693710.99314986,494790.76410249
14809,2011-11-08 09:51:00,-1705678.18299434,499208.215384924
14809,2011-11-08 14:05:00,-1704413.33103361,498067.319979259
14809,2011-11-08 14:43:00,-1704827.19945142,499285.573502141
14809,2011-11-08 15:05:00,-1705218.69408841,499893.200705538
14809,2011-11-08 16:44:00,-1707028.66286307,500359.406117319
14809,2011-11-08 20:28:00,-1705751.60730139,499184.776577284
14809,2011-11-08 20:55:00,-1705087.49061966,498999.485847965
14809,2011-11-08 21:53:00,-1704344.30396634,498725.77191106
14809,2011-11-08 22:38:00,-1704344.30396634,498725.77191106
14809,2011-11-09 02:32:00,-1704366.19723894,498578.81746303
14809,2011-11-09 04:13:00,-1704366.19723894,498578.81746303
14809,2011-11-09 05:10:00,-1704366.19723894,498578.81746303
14809,2011-11-09 05:56:00,-1704366.19723894,498578.81746303
14809,2011-11-09 20:07:00,-1704366.19723894,498578.81746303
14809,2011-11-09 20:50:00,-1704366.19723894,498578.81746303
14809,2011-11-09 21:30:00,-1704366.19723894,498578.81746303
14809,2011-11-09 21:42:00,-1704366.19723894,498578.81746303
14809,2011-11-09 22:25:00,-1704366.19723894,498578.81746303
14809,2011-11-09 22:50:00,-1704366.19723894,498578.81746303
14809,2011-11-09 23:23:00,-1704366.19723894,498578.81746303
14809,2011-11-10 02:08:00,-1704448.4905649,498150.213346141
14809,2011-11-10 03:50:00,-1704177.91382144,498093.694292159
14809,2011-11-10 04:58:00,-1704576.52847956,498255.666923592
14809,2011-11-10 05:30:00,-1704789.88785274,498364.641976884
14809,2011-11-10 05:40:00,-1704847.14637329,498408.765818887
14809,2011-11-10 05:53:00,-1704912.3367474,498474.704976119
14809,2011-11-10 21:11:00,-1704528.75964194,499621.802297705
14809,2011-11-10 21:22:00,-1704516.35985647,499711.261608767
14809,2011-11-10 22:12:00,-1704784.87350227,500156.247497839
14809,2011-11-10 22:38:00,-1705006.15563415,500370.510478193
14809,2011-11-10 22:57:00,-1705135.73964149,500484.094078404
14809,2011-11-10 23:38:00,-1705203.42847086,500476.148337374
14809,2011-11-11 02:00:00,-1705201.94703282,499878.036301294
14809,2011-11-11 02:59:00,-1705426.84932676,500065.785830576
14809,2011-11-11 03:21:00,-1705475.39996847,500093.89076411
14809,2011-11-11 04:49:00,-1705491.84680659,499976.006045167
14809,2011-11-11 05:09:00,-1705814.3176434,500365.637194118
14809,2011-11-11 08:48:00,-1721158.37040932,518691.938029067
14809,2011-11-11 10:31:00,-1730261.83039484,528864.18475235
14809,2011-11-11 15:30:00,-1745012.85846309,559657.675154782
14809,2011-11-11 16:01:00,-1745064.94933709,561887.236080789
14809,2011-11-11 17:11:00,-1743621.79584033,566033.79207537
14809,2011-11-11 20:46:00,-1732535.88776349,586285.017336728
14809,2011-11-12 02:55:00,-1738936.80251069,615408.722924269
14809,2011-11-12 04:54:00,-1741545.10896516,609595.009655525
14809,2011-11-12 05:12:00,-1742040.37596867,608432.879543337
14809,2011-11-12 08:28:00,-1745321.81201748,599069.538089952
14809,2011-11-12 10:12:00,-1744802.83294022,600195.713794438
14809,2011-11-12 14:02:00,-1756844.4857283,599473.376861709
14809,2011-11-12 15:08:00,-1760837.88235698,596353.502388002
14809,2011-11-12 16:43:00,-1763770.97656849,589223.148332128
