"ID","lon","lat","date"
1,70.6094622452686,-49.6073687463654,"2014-02-11 10:34:58"
1,70.8290811067749,-50.0828650735496,"2014-02-11 20:10:58"
1,70.9002947408576,-50.3283545671591,"2014-02-12 05:46:58"
1,70.8576591889658,-50.5474583900422,"2014-02-12 15:22:58"
1,70.637917105815,-50.9052857941711,"2014-02-13 00:58:58"
1,70.4847958594508,-50.9966576953652,"2014-02-13 10:34:58"
1,70.5251735395743,-51.2459070599758,"2014-02-13 20:10:58"
1,70.5413819852283,-51.4750240809419,"2014-02-14 05:46:58"
1,70.2588902272862,-51.6129711092546,"2014-02-14 15:22:58"
1,70.1090799653051,-51.8895736049819,"2014-02-15 00:58:58"
1,69.9204345893207,-52.1722056323215,"2014-02-15 10:34:58"
1,69.6663140915917,-52.4180500137849,"2014-02-15 20:10:58"
1,69.5140627550607,-52.7985430507478,"2014-02-16 05:46:58"
1,69.3175554059164,-53.0469367451914,"2014-02-16 15:22:58"
1,68.9538885184395,-53.3498513001021,"2014-02-17 00:58:58"
1,68.7915613417182,-53.5828105322047,"2014-02-17 10:34:58"
1,68.556527289826,-53.8967340197592,"2014-02-17 20:10:58"
1,68.3246079890031,-54.1075513164479,"2014-02-18 05:46:58"
1,67.94058696006,-54.3667795529232,"2014-02-18 15:22:58"
1,67.5257682727416,-54.6722384682183,"2014-02-19 00:58:58"
1,67.2548846521801,-54.9833061255957,"2014-02-19 10:34:58"
1,66.8902483901455,-55.2571767848143,"2014-02-19 20:10:58"
1,66.3968451073937,-55.5588406446673,"2014-02-20 05:46:58"
1,66.0930875537194,-55.916287289776,"2014-02-20 15:22:58"
1,65.6602055195598,-56.2790115945313,"2014-02-21 00:58:58"
1,65.2056794831016,-56.6563143592673,"2014-02-21 10:34:58"
1,64.8976768039185,-57.0258132184532,"2014-02-21 20:10:58"
1,64.3754633883686,-57.3000650026191,"2014-02-22 05:46:58"
1,64.0005961426256,-57.6442923474892,"2014-02-22 15:22:58"
1,63.4838644281837,-58.030414559328,"2014-02-23 00:58:58"
1,63.0389251427643,-58.3890621004892,"2014-02-23 10:34:58"
1,62.534304072248,-58.7450625791218,"2014-02-23 20:10:58"
1,62.1178961516655,-59.0078691386408,"2014-02-24 05:46:58"
1,61.7057931221416,-59.2937926384823,"2014-02-24 15:22:58"
1,61.0997880361745,-59.5836702814514,"2014-02-25 00:58:58"
1,60.7827024305794,-59.952728835668,"2014-02-25 10:34:58"
1,60.2064457922474,-60.2128026762879,"2014-02-25 20:10:58"
1,59.7052398079359,-60.4269022757837,"2014-02-26 05:46:58"
1,59.2455256478365,-60.5651769564969,"2014-02-26 15:22:58"
1,58.7817855465261,-60.8506153702775,"2014-02-27 00:58:58"
1,58.3093757792805,-61.0855264216971,"2014-02-27 10:34:58"
1,57.9015047407889,-61.3456203902497,"2014-02-27 20:10:58"
1,57.4863373850678,-61.6073103864051,"2014-02-28 05:46:58"
1,57.032124969842,-61.8741463312573,"2014-02-28 15:22:58"
1,56.4724334161155,-62.2502622243,"2014-03-01 00:58:58"
1,56.0860449536223,-62.5054383134903,"2014-03-01 10:34:58"
1,55.6342498908228,-62.8781598417817,"2014-03-01 20:10:58"
1,55.2232352683247,-63.1086511314585,"2014-03-02 05:46:58"
1,54.7268071776489,-63.3352652479876,"2014-03-02 15:22:58"
1,54.1505344380369,-63.4886014397603,"2014-03-03 00:58:58"
1,53.7027741272928,-63.6824122710649,"2014-03-03 10:34:58"
1,53.3463268061344,-63.7536604619933,"2014-03-03 20:10:58"
1,52.8720762597244,-63.8504152428105,"2014-03-04 05:46:58"
1,52.4429024796338,-63.9498686561477,"2014-03-04 15:22:58"
1,51.9457122726258,-64.1983998744711,"2014-03-05 00:58:58"
1,51.2245564431516,-64.3856869792518,"2014-03-05 10:34:58"
1,50.542978525117,-64.4614829612995,"2014-03-05 20:10:58"
1,49.8186109230014,-64.6679818402242,"2014-03-06 05:46:58"
1,49.0867677793222,-64.8207519400008,"2014-03-06 15:22:58"
1,48.5123571520761,-64.9665446233317,"2014-03-07 00:58:58"
1,47.7063196662842,-65.1411583776315,"2014-03-07 10:34:58"
1,46.9202934342231,-65.2445786585888,"2014-03-07 20:10:58"
1,46.2673051566463,-65.4991339235866,"2014-03-08 05:46:58"
1,45.6315170632097,-65.6950524085368,"2014-03-08 15:22:58"
1,45.2507269514648,-65.8162976614075,"2014-03-09 00:58:58"
1,44.7348527014233,-65.9597873945618,"2014-03-09 10:34:58"
1,44.2216682619956,-66.1542636451892,"2014-03-09 20:10:58"
1,43.6182287553073,-66.4559791328878,"2014-03-10 05:46:58"
1,42.9176163591751,-66.6669673464088,"2014-03-10 15:22:58"
1,42.3757041720939,-66.860224777262,"2014-03-11 00:58:58"
1,41.7292636141919,-67.0806084409998,"2014-03-11 10:34:58"
1,41.0775755736959,-67.1831356491331,"2014-03-11 20:10:58"
1,40.5685156052102,-67.3459412847525,"2014-03-12 05:46:58"
1,39.7714314593852,-67.4349165435421,"2014-03-12 15:22:58"
1,39.566532831855,-67.4114649622219,"2014-03-13 00:58:58"
1,39.0090826548121,-67.5401002520035,"2014-03-13 10:34:58"
1,38.8502140146242,-67.5829296401359,"2014-03-13 20:10:58"
1,38.699968731481,-67.6085607607499,"2014-03-14 05:46:58"
1,38.8220133715499,-67.5679128027776,"2014-03-14 15:22:58"
1,38.9195300151259,-67.6067373117725,"2014-03-15 00:58:58"
1,38.822127038039,-67.6857402811388,"2014-03-15 10:34:58"
1,38.6295087939396,-67.6602634312686,"2014-03-15 20:10:58"
